Date,Mean_T,sensor
2017-04-28,23.2,02:00:00:28:8c:e6
2017-04-28,23.2,03:00:00:02:c5:f8
2017-04-28,23.2,03:00:00:05:05:30
2017-04-29,21.9,02:00:00:28:8c:e6
2017-04-29,21.9,03:00:00:02:c5:f8
2017-04-29,21.9,03:00:00:05:05:30
2017-04-30,23.9,02:00:00:28:8c:e6
2017-04-30,23.9,03:00:00:02:c5:f8
2017-04-30,23.9,03:00:00:05:05:30
2017-05-01,24.8,02:00:00:28:8c:e6
2017-05-01,24.8,03:00:00:02:c5:f8
2017-05-01,24.8,03:00:00:05:05:30
2017-05-02,23.1,02:00:00:28:8c:e6
2017-05-02,23.1,03:00:00:02:c5:f8
2017-05-02,23.1,03:00:00:05:05:30
2017-05-03,24.3,02:00:00:28:8c:e6
2017-05-03,24.3,03:00:00:02:c5:f8
2017-05-03,24.3,03:00:00:05:05:30
2017-05-04,23.7,02:00:00:28:8c:e6
2017-05-04,23.7,03:00:00:02:c5:f8
2017-05-04,23.7,03:00:00:05:05:30
2017-05-05,26.7,02:00:00:28:8c:e6
2017-05-05,26.7,03:00:00:02:c5:f8
2017-05-05,26.7,03:00:00:05:05:30
2017-05-06,24.2,02:00:00:28:8c:e6
2017-05-06,24.2,03:00:00:02:c5:f8
2017-05-06,24.2,03:00:00:05:05:30
2017-05-07,25.6,02:00:00:28:8c:e6
2017-05-07,25.6,03:00:00:02:c5:f8
2017-05-07,25.6,03:00:00:05:05:30
2017-05-08,26.2,02:00:00:28:8c:e6
2017-05-08,26.2,03:00:00:02:c5:f8
2017-05-08,26.2,03:00:00:05:05:30
2017-05-09,22.0,02:00:00:28:8c:e6
2017-05-09,22.0,03:00:00:02:c5:f8
2017-05-09,22.0,03:00:00:05:05:30
2017-05-10,26.0,02:00:00:28:8c:e6
2017-05-10,26.0,03:00:00:02:c5:f8
2017-05-10,26.0,03:00:00:05:05:30
2017-05-11,26.1,02:00:00:28:8c:e6
2017-05-11,26.1,03:00:00:02:c5:f8
2017-05-11,26.1,03:00:00:05:05:30
2017-05-12,25.1,02:00:00:28:8c:e6
2017-05-12,25.1,03:00:00:02:c5:f8
2017-05-12,25.1,03:00:00:05:05:30
2017-05-13,20.5,02:00:00:28:8c:e6
2017-05-13,20.5,03:00:00:02:c5:f8
2017-05-13,20.5,03:00:00:05:05:30
2017-05-14,25.3,02:00:00:28:8c:e6
2017-05-14,25.3,03:00:00:02:c5:f8
2017-05-14,25.3,03:00:00:05:05:30
2017-05-15,25.3,02:00:00:28:8c:e6
2017-05-15,25.3,03:00:00:02:c5:f8
2017-05-15,25.3,03:00:00:05:05:30
2017-05-16,18.9,02:00:00:28:8c:e6
2017-05-16,18.9,03:00:00:02:c5:f8
2017-05-16,18.9,03:00:00:05:05:30
2017-05-17,22.4,02:00:00:28:8c:e6
2017-05-17,22.4,03:00:00:02:c5:f8
2017-05-17,22.4,03:00:00:05:05:30
2017-05-18,24.0,02:00:00:28:8c:e6
2017-05-18,24.0,03:00:00:02:c5:f8
2017-05-18,24.0,03:00:00:05:05:30
2017-05-19,25.9,02:00:00:28:8c:e6
2017-05-19,25.9,03:00:00:02:c5:f8
2017-05-19,25.9,03:00:00:05:05:30
2017-05-20,25.9,02:00:00:28:8c:e6
2017-05-20,25.9,03:00:00:02:c5:f8
2017-05-20,25.9,03:00:00:05:05:30
2017-05-21,26.9,02:00:00:28:8c:e6
2017-05-21,26.9,03:00:00:02:c5:f8
2017-05-21,26.9,03:00:00:05:05:30
2017-05-22,27.6,02:00:00:28:8c:e6
2017-05-22,27.6,03:00:00:02:c5:f8
2017-05-22,27.6,03:00:00:05:05:30
2017-05-23,27.5,02:00:00:28:8c:e6
2017-05-23,27.5,03:00:00:02:c5:f8
2017-05-23,27.5,03:00:00:05:05:30
2017-05-24,24.5,02:00:00:28:8c:e6
2017-05-24,24.5,03:00:00:02:c5:f8
2017-05-24,24.5,03:00:00:05:05:30
2017-05-25,25.2,02:00:00:28:8c:e6
2017-05-25,25.2,03:00:00:02:c5:f8
2017-05-25,25.2,03:00:00:05:05:30
2017-05-26,26.6,02:00:00:28:8c:e6
2017-05-26,26.6,03:00:00:02:c5:f8
2017-05-26,26.6,03:00:00:05:05:30
2017-05-27,24.7,02:00:00:28:8c:e6
2017-05-27,24.7,03:00:00:02:c5:f8
2017-05-27,24.7,03:00:00:05:05:30
2017-05-28,24.1,02:00:00:28:8c:e6
2017-05-28,24.1,03:00:00:02:c5:f8
2017-05-28,24.1,03:00:00:05:05:30
2017-05-29,26.3,02:00:00:28:8c:e6
2017-05-29,26.3,03:00:00:02:c5:f8
2017-05-29,26.3,03:00:00:05:05:30
2017-05-30,26.7,02:00:00:28:8c:e6
2017-05-30,26.7,03:00:00:02:c5:f8
2017-05-30,26.7,03:00:00:05:05:30
2017-05-31,27.9,02:00:00:28:8c:e6
2017-05-31,27.9,03:00:00:02:c5:f8
2017-05-31,27.9,03:00:00:05:05:30
2017-06-01,27.5,02:00:00:28:8c:e6
2017-06-02,23.7,02:00:00:28:8c:e6
2017-06-03,23.4,02:00:00:28:8c:e6
2017-06-04,24.0,02:00:00:28:8c:e6
2017-06-05,24.1,02:00:00:28:8c:e6
2017-06-06,24.3,02:00:00:28:8c:e6
2017-06-07,23.0,02:00:00:28:8c:e6
2017-06-08,24.6,02:00:00:28:8c:e6
2017-06-09,25.7,02:00:00:28:8c:e6
2017-06-10,26.2,02:00:00:28:8c:e6
2017-06-11,22.5,02:00:00:28:8c:e6
2017-06-12,23.3,02:00:00:28:8c:e6
2017-06-13,23.3,02:00:00:28:8c:e6
2017-06-14,24.8,02:00:00:28:8c:e6
2017-06-15,25.1,02:00:00:28:8c:e6
2017-06-16,25.2,02:00:00:28:8c:e6
2017-06-17,24.8,02:00:00:28:8c:e6
2017-06-18,24.6,02:00:00:28:8c:e6
2017-06-19,26.0,02:00:00:28:8c:e6
2017-06-20,26.1,02:00:00:28:8c:e6
2017-06-21,26.6,02:00:00:28:8c:e6
2017-06-22,26.8,02:00:00:28:8c:e6
2017-06-23,27.6,02:00:00:28:8c:e6
2017-06-24,26.2,02:00:00:28:8c:e6
2017-06-25,25.6,02:00:00:28:8c:e6
2017-06-26,26.1,02:00:00:28:8c:e6
2017-06-27,26.7,02:00:00:28:8c:e6
2017-06-28,28.3,02:00:00:28:8c:e6
