index,Mean_T,GDD,Cum_GDD
2017-06-11,22.5,12.5,12.5
2017-06-12,23.3,13.3,25.8
2017-06-13,23.3,13.3,39.1
2017-06-14,24.8,14.8,53.9
2017-06-15,25.1,15.1,69.0
2017-06-16,25.2,15.2,84.2
2017-06-17,24.8,14.8,99.0
2017-06-18,24.6,14.6,113.6
2017-06-19,26.0,16.0,129.6
2017-06-20,26.1,16.1,145.7
2017-06-21,26.6,16.6,162.3
2017-06-22,26.8,16.8,179.1
2017-06-23,27.6,17.6,196.7
2017-06-24,26.2,16.2,212.9
2017-06-25,25.6,15.6,228.5
2017-06-26,26.1,16.1,244.6
2017-06-27,26.7,16.7,261.3
2017-06-28,28.3,18.3,279.6
2017-06-29,27.8,17.8,297.4
2017-06-30,28.8,18.8,316.2
2017-07-01,29.3,19.3,335.5
2017-07-02,29.1,19.1,354.6
2017-07-03,29.2,19.2,373.8
2017-07-04,28.8,18.8,392.6
2017-07-05,28.0,18.0,410.6
2017-07-06,27.3,17.3,427.9
2017-07-07,25.1,15.1,443.0
2017-07-08,29.0,19.0,462.0
2017-07-09,28.3,18.3,480.3
2017-07-10,29.0,19.0,499.3
2017-07-11,29.5,19.5,518.8
2017-07-12,25.3,15.3,534.1
2017-07-13,26.175,16.175,550.275
2017-07-14,27.05,17.05,567.325
2017-07-15,27.925,17.925,585.25
2017-07-16,28.8,18.8,604.05
2017-07-17,29.4,19.4,623.45
2017-07-18,28.2,18.2,641.65
2017-07-19,29.7,19.7,661.35
2017-07-20,29.0,19.0,680.35
2017-07-21,30.4,20.4,700.75
2017-07-22,30.2,20.2,720.95
2017-07-23,29.6,19.6,740.55
2017-07-24,29.8,19.8,760.35
2017-07-25,30.0,20.0,780.35
2017-07-26,30.9,20.9,801.25
2017-07-27,30.5,20.5,821.75
2017-07-28,30.1,20.1,841.85
2017-07-29,31.7,21.7,863.55
2017-07-30,30.5,20.5,884.05
2017-07-31,31.6,21.6,905.65
2017-08-01,29.7,19.7,925.35
2017-08-02,29.3,19.3,944.65
