date,Cum_GDD,Cum_Yield
2017-07-25,1108.4,1669.4
2017-07-26,1128.7,1698.7
2017-07-28,1168.6,1832.2
2017-07-31,1231.3,2079.8
2017-08-02,1269.7,2218.5
2017-08-04,1309.4,2293.1
2017-08-07,1369.4,2343.3
2017-08-09,1408.2,2365.6
2017-08-11,1449.0,2378.0
2017-08-14,1504.6,2409.9
2017-08-16,1542.9,2426.2
2017-08-18,1581.1,2438.0
2017-08-21,1640.2,2472.6
2017-08-23,1680.9,2497.5
2017-08-25,1715.1,2509.8
2017-08-28,1766.7,2529.3
2017-08-30,1805.6,2535.3
2017-09-01,1833.85,2542.3
2017-09-04,1877.45,2546.2
2017-09-06,1897.58333333,2551.3
2017-09-08,1924.65,2560.2
2017-09-11,1978.25,2585.5
2017-09-13,2014.35,2597.5
2017-09-15,2038.95,2654.1
2017-09-18,2071.35,2692.6
2017-09-20,2092.95,2713.6
2017-09-22,2114.55,2724.1
2017-09-25,2146.95,2735.2
2017-09-27,2168.55,2740.3
2017-09-29,2190.15,2744.5
2017-10-02,2222.55,2745.7
