,sdate,block,vid,A_harv,B_harv,loss,sweetness
1,2016/05/04,A,v1,2,0,0,0
2,2016/05/09,A,v1,13.6,1,0,0
3,2016/05/11,A,v1,18,3.7,0,0
4,2016/05/13,A,v1,41,15.4,0,0
5,2016/05/16,A,v1,65,14.6,0,0
6,2016/05/19,A,v1,33.1,11.8,0,0
7,2016/05/24,A,v1,79,15.8,0,0
8,2016/05/26,A,v1,63.1,10.5,0,0
9,2016/05/30,A,v1,155.4,30.5,0,0
10,2016/06/01,A,v1,106.9,14,0,0
11,2016/06/04,A,v1,103.7,10.6,0,0
12,2016/06/07,A,v1,88.2,24.7,0,0
13,2016/06/11,A,v1,114.9,52.5,0,0
14,2016/06/15,A,v1,47.4,44.7,0,0
15,2016/06/17,A,v1,38.7,18.2,14,0
16,2016/06/20,A,v1,56.5,13.1,12,0
17,2016/06/22,A,v1,48.7,23,14.5,0
18,2016/06/24,A,v1,36.5,44.2,20,0
19,2016/06/27,A,v1,50.5,51.1,38.6,0
20,2016/06/27,F,v1,23.4,9.3,10.5,0
21,2016/06/29,A,v1,18.9,10,21.7,0
22,2016/06/29,F,v1,48.8,11.6,1.6,0
23,2016/07/01,A,v1,19.5,4.9,18.5,0
24,2016/07/01,F,v1,36.1,11.1,0.9,0
25,2016/07/04,A,v1,12.5,9.2,10,0
26,2016/07/04,F,v1,16.7,8.4,1.6,0
27,2016/07/06,A,v1,11,11.4,9,0
28,2016/07/06,F,v1,2.3,4.7,1.1,0
29,2016/07/08,A,v1,4.8,5.7,10.8,0
30,2016/07/08,F,v1,0,0,4,0
31,2016/07/11,A,v1,13.4,19.3,23.1,0
32,2016/07/11,F,v1,39.5,23,7.1,0
33,2016/07/13,A,v1,2.4,26.8,5.8,0
34,2016/07/13,F,v1,61.2,115.2,31.1,0
35,2016/07/15,E,v1,2.3,0.9,1.2,0
36,2016/07/15,F,v1,32.9,15.8,9,0
37,2016/07/18,E,v1,18.6,15.1,9.5,0
38,2016/07/18,F,v1,45.2,59,68.5,0
39,2016/07/20,E,v1,10.3,9.3,9.2,0
40,2016/07/20,F,v1,56.5,49.3,16.6,0
41,2016/07/22,E,v1,5.8,5.7,3,0
42,2016/07/22,F,v1,25.5,29.8,7.2,0
43,2016/07/25,E,v1,11.6,19.7,2.9,0
44,2016/07/25,F,v1,21.3,33.8,9.5,0
45,2016/07/27,E,v1,23.2,47.6,0.8,0
46,2016/07/27,F,v1,9.6,23.7,2.8,0
47,2016/07/29,E,v1,35.2,75.2,11.1,0
48,2016/07/29,F,v1,18,32.9,6.3,0
49,2016/08/01,E,v1,15.7,28.5,4.7,0
50,2016/08/01,F,v1,12,12.2,3.4,0
51,2016/08/04,E,v1,2.8,8.6,13.3,0
52,2016/08/04,F,v1,19.5,42.3,16.3,0
53,2016/08/06,E,v1,3.2,9.4,6.6,0
54,2016/08/06,F,v1,8,11.5,4.3,0
55,2016/08/08,E,v1,5.7,16.9,6.9,0
56,2016/08/08,F,v1,11,15,2.3,0
57,2016/08/10,D,v1,0,0,1.6,0
58,2016/08/10,E,v1,3.3,10.1,3.2,0
59,2016/08/10,F,v1,2.6,6.9,1.2,0
60,2016/08/12,D,v1,5.2,13.3,1.7,0
61,2016/08/12,E,v1,2.5,2.8,0,0
62,2016/08/12,F,v1,1.7,0.8,0.2,0
63,2016/08/14,D,v1,0,0,21.2,0
64,2016/08/14,E,v1,8.6,13.7,8.1,0
65,2016/08/14,F,v1,1.8,5,1.2,0
66,2016/08/15,D,v1,8.8,49.6,21.8,0
67,2016/08/18,D,v1,1.2,14.6,7.5,0
68,2016/08/18,E,v1,3.9,11.9,2.8,0
69,2016/08/18,F,v1,1.2,3,1.7,0
70,2016/08/20,D,v1,1.3,15.2,9.4,0
71,2016/08/20,E,v1,5.8,7.1,3.5,0
72,2016/08/20,F,v1,0,5.4,1.1,0
73,2016/08/22,D,v1,1,13.2,1.8,0
74,2016/08/22,E,v1,4,4.6,0.7,0
75,2016/08/24,D,v1,0.6,11.1,3.7,0
76,2016/08/24,E,v1,4.6,10.5,1.8,0
77,2016/08/26,D,v1,0.6,7.5,0.9,0
78,2016/08/26,E,v1,5.4,8.5,1.1,0
79,2016/08/30,D,v1,0.4,3.8,1.1,0
80,2016/08/30,E,v1,5.1,6.4,0.8,0
81,2016/09/02,D,v1,0.9,3.3,15.9,0
82,2016/09/02,E,v1,3.1,4.3,0.5,0
83,2016/09/05,D,v1,0.8,3,1.6,0
84,2016/09/05,E,v1,2,6.2,2,0
85,2016/09/07,D,v1,1,5.7,1.3,0
86,2016/09/07,E,v1,2.9,9.8,1.5,0
